Pais,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,^,0.01,0.01,0.01,0.01,0.01,-14.0%,3.7%,♦
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.05,0.05,0.05,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.08,0.10,0.10,0.11,0.13,0.14,0.12,0.14,0.13,0.15,0.15,0.15,-1.9%,4.5%,0.9%
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-12.1%,6.7%,♦
Finland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.02,0.03,0.05,0.06,0.06,0.08,0.08,2.4%,32.1%,0.4%
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.02,0.04,0.06,0.08,0.10,0.12,0.15,0.16,0.17,0.21,0.21,0.24,0.27,0.33,0.38,0.35,-7.1%,11.3%,2.0%
Germany,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.01,0.01,0.02,0.02,0.03,0.05,0.06,0.10,0.11,0.17,0.20,0.27,0.29,0.32,0.41,0.42,0.40,0.39,0.50,0.51,0.52,0.57,0.78,0.77,1.01,1.05,1.19,1.25,1.11,-11.0%,8.4%,6.3%
Greece,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.09,0.10,12.4%,11.6%,0.6%
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.7%,-0.1%,♦
Iceland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,^,^,^,^,^,^,^,^,-8.7%,93.3%,♦
Ireland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.10,0.11,0.09,-16.0%,7.7%,0.5%
Italy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.05,0.07,0.09,0.10,0.13,0.15,0.15,0.14,0.17,0.17,0.17,0.19,0.18,0.19,10.7%,7.1%,1.1%
Latvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-21.4%,6.5%,♦
Lithuania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-12.3%,10.5%,0.1%
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-3.5%,17.5%,♦
Netherlands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.10,0.10,0.11,0.15,0.17,16.5%,12.8%,1.0%
North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,-11.7%,-,♦
Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.05,0.09,0.11,18.6%,24.2%,0.6%
Poland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.03,0.05,0.06,0.07,0.11,0.12,0.14,0.12,0.14,0.15,0.15,2.5%,17.0%,0.9%
Portugal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.02,0.03,0.04,0.06,0.08,0.09,0.09,0.10,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,7.4%,3.2%,0.7%
Romania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.01,0.03,0.04,0.05,0.07,0.06,0.07,0.06,0.06,0.07,0.06,-5.4%,16.2%,0.4%
Slovakia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-0.4%,-2.7%,♦
Slovenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,-11.5%,-,♦
Spain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.01,0.01,0.03,0.05,0.07,0.10,0.13,0.16,0.22,0.24,0.28,0.33,0.38,0.44,0.42,0.49,0.55,0.51,0.48,0.47,0.47,0.48,0.50,0.53,0.59,10.4%,3.4%,3.3%
Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.06,0.07,0.10,0.11,0.16,0.15,0.17,0.16,0.19,0.26,0.26,-0.9%,15.6%,1.5%
Switzerland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-0.4%,7.0%,♦
Turkey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.03,0.05,0.06,0.07,0.08,0.11,0.15,0.17,0.19,0.21,0.23,0.29,25.3%,20.1%,1.7%
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,19.5%,45.1%,0.2%
United Kingdom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.09,0.10,0.16,0.20,0.28,0.31,0.39,0.36,0.48,0.54,0.61,0.71,0.61,-14.6%,14.4%,3.5%
Other Europe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.02,0.02,12.1%,61.6%,0.1%
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,-,-,^,^,^,^,^,^,^,^,^,-5.0%,-,♦
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-0.4%,45.9%,♦
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.01,0.01,0.02,62.5%,153.1%,0.1%
Russian Federation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,126.9%,84.4%,0.1%
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
USSR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,-,-,♦
Other CIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,34.9%,36.5%,♦
Iran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.3%,17.6%,0.1%
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Israel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-,-,-,-,-,-,-,-100.0%,♦
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,-0.4%,-,♦
Oman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,-0.4%,-,♦
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,-,-,-,-,-,-,-,-,♦
Other Middle East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,19.4%,76.7%,0.1%
Algeria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,36.2%,-,♦
Egypt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.05,0.06,0.07,11.3%,17.1%,0.4%
Morocco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,11.1%,21.5%,0.3%
South Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.03,0.04,0.06,0.06,0.06,0.07,0.08,17.0%,70.7%,0.4%
Eastern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.02,0.02,0.02,33.0%,53.6%,0.1%
Middle Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,-0.4%,-,♦
Western Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-0.5%,35.1%,♦
Other Northern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-8.0%,14.1%,♦
Other Southern Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Australia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.06,0.08,0.09,0.10,0.11,0.13,0.13,0.15,0.18,0.21,0.25,18.4%,14.7%,1.4%
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-0.4%,-0.6%,♦
China,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.01,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0.13,0.28,0.49,0.74,1.02,1.36,1.56,1.80,2.32,2.92,3.48,3.85,4.41,6.18,40.4%,23.7%,35.2%
China Hong Kong SAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,2.5%,-1.1%,♦
India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.05,0.06,0.10,0.12,0.15,0.16,0.19,0.24,0.27,0.29,0.33,0.32,0.42,0.50,0.57,0.60,0.57,0.64,12.6%,10.4%,3.7%
Indonesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,-,^,^,-,^,^,^,^,-8.1%,56.5%,♦
Japan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.08,5.4%,5.8%,0.4%
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
New Zealand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,14.5%,2.5%,0.1%
Pakistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.01,0.01,0.02,0.03,0.03,0.03,0.03,25.5%,-,0.2%
Philippines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,21.2%,29.6%,0.1%
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
South Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,-,-,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.4%,13.3%,0.2%
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,40.5%,21.6%,♦
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,-3.0%,3.6%,0.1%
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.03,0.03,0.03,-0.4%,92.4%,0.2%
